RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1712.3801355475932,1722.6099875221796,1734.0642672422475,1744.4075375054108,1754.6858615558708,1763.3852345980067,1774.0211159420537,1783.745379962168,1797.5779734576922,1808.1065854240512,1822.4499011120704,1835.4800817712453,1847.1277962899032,1855.4291399598096,1863.1079984130818,1871.5666685666476,1879.8767771930254,1889.4655155799585,1899.3905720945218,1908.2804704711743,1916.4612773796723,1925.070335082154,1932.3521638197099,1941.2279464554151,1954.2738207508194,1967.6682925540163,1983.3449310375715,1992.69066020194,2004.1204831005991,2011.4380507205058,2020.6042010955016,2027.2826955584173,2035.920256262405,2043.7039074401205,2053.127944723493,2062.347749687288,2071.9194670614434,2084.3725591131606,2089.269535392777,2095.958548863432,2100.1664028865794,2111.3935173459804,2121.2547823635014,2132.4628845562247,2140.290245743966,2149.644789617032,2159.0758391060867,2167.5830829432016,2172.688471888875,2176.0223797327217,2183.9927681022427,2193.471411604037,2203.5986159949703,2209.7791727973786,2215.577973853619,2221.51480648381,2228.7127554689373,2234.8333008261334,2239.9204549617507,2245.2600404254977,2251.933503840158,2258.234326487805,2253.5051408488134,2247.1381339099676,2239.9313652522146,2233.0826867084475,2228.9088710473866,2222.6748617895314,2217.7070612934667,2217.373953476624,2221.4021023276646,2224.1564095102526,2231.5620377949485,2237.8372525754635,2247.2662731820146,2256.897634792122,2273.1230899044654,2298.8727162570344,2327.901142960193,2362.2593392795225,2392.895520877101,2420.202732671721,2441.188420209997,2465.6826376225463,2486.349897708982,2510.22459590211,2529.2441239443006,2553.8885973728875,2573.43045715322,2589.212283701533,2601.254273032341,2610.514910507574,2620.2809144645535,2625.49298389714,2633.436809311833,2638.83358219583,2642.3004964811776,2645.3476784454506,2652.773540654298,2661.2641408579348,2666.5488481727134,2666.801560700739,2667.9905348233847,2670.451918016997,2671.899103821758,2676.5519737745117,2678.91021910415,2683.8403595949835,2684.726269862303,2687.0718746195907,2689.8039174112705,2700.6633578894725,2709.9443641400017,2718.576920733247,2725.599402090746,2730.6905229336035,2737.0815292885018,2741.515749838924,2748.2618474165165,2752.860298469461,2769.604995173539,2782.8890891472715,2791.97993112128,2790.76476899563,2792.303437515676,2796.3554458756894,2800.94836347695,2805.8483322481725,2809.217581383516,2812.443192086017,2813.445312187606,2813.9611401879297,2806.339038281708,2799.416534506392,2793.5376185551245
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1457.711074159913,1459.4477585389131,1464.0420412804285,1467.980426850899,1473.4447051707848,1476.589512271245,1479.686464218326,1483.4868378764565,1487.6389913048324,1493.1193412923744,1497.5739895194133,1502.9454416359815,1507.4389012989232,1511.0032650893475,1513.158468201329,1514.3975159096108,1516.0036935613798,1519.1605406233869,1524.4315804306332,1531.6308537177315,1535.2018438315874,1538.584240586531,1538.119103863713,1537.3409321483582,1538.277967731148,1544.0050155572246,1552.7211645907369,1559.112070406079,1563.2948641597611,1564.5695615673467,1565.3115032239264,1564.195823783693,1568.2921236533355,1569.8773150124325,1574.1441972868556,1577.9636785394757,1582.36088948908,1586.9516293314348,1586.9238199631209,1588.5635980611607,1590.9083964438237,1596.5370502440794,1601.657855254144,1603.516010295759,1602.3354431647663,1603.0796308639133,1607.5825669102808,1615.353135987186,1619.5067651880313,1621.8433734046828,1625.5877658727452,1629.4628877706998,1633.8497645752204,1636.9018115669135,1640.2963609264757,1646.7716204679969,1653.8499872624895,1660.759259075359,1664.3254355534739,1665.7083048311667,1669.4074263076618,1673.6035284003688,1676.401299185955,1666.4909044186786,1655.2276092072536,1646.0543704603433,1641.644214213193,1637.2116264165134,1630.1350247018518,1620.3507454237852,1613.2529529991098,1612.6284108861796,1612.6751252759618,1617.7859813566683,1623.8042181528347,1640.1883921217072,1657.16549698954,1675.2260668995032,1689.916582886573,1704.189379991996,1720.418230408094,1736.070686613551,1751.440669533569,1764.910418430441,1778.350369078908,1788.7667868427006,1800.10996192325,1811.5969555057077,1824.5998580958626,1835.5351357802856,1847.6516779537542,1858.5072764749425,1869.8994459691355,1882.2283411156375,1893.5908989075972,1903.5522980786982,1911.3057388069756,1919.8011823629452,1928.1728129422781,1934.6471700253778,1943.6181346502176,1952.0614173074578,1960.9995723671266,1970.8744579185716,1978.1594454059687,1984.1566920308633,1990.4573757631724,2000.3671798500213,2010.093343733772,2018.8493639070089,2024.4900842018722,2032.4684779584559,2037.891635405096,2044.5077439178103,2050.8799161500483,2057.7944108777265,2066.412824211305,2078.715070645271,2091.899631665258,2104.1274299530164,2112.1113977454565,2121.554278597803,2131.6521753741904,2143.413275384209,2155.433201372004,2167.1821331533833,2178.7331414202404,2189.6577040406914,2200.3723624721574,2208.6368006273806,2216.3454059464952,2223.4325471228517,2234.4892669866513,2244.8527312731435,2256.2656473711822
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1183.2752735256006,1184.7276005643919,1189.0221386901405,1191.0903032802166,1193.4203432435606,1196.1306678837313,1198.1644274438427,1202.676500753616,1203.636077577273,1206.0044344126968,1206.9810431805597,1208.4021790547708,1210.6659682607806,1210.9341197072454,1213.5799950992193,1212.9841716670342,1211.0722116362558,1209.6572308973482,1210.5708971712954,1212.0363783882954,1209.8456817233512,1208.604482714301,1205.0803621871298,1204.6300700295662,1206.0047824562755,1211.9948333992975,1218.2254338988691,1218.2700176019348,1221.097192555474,1219.7964864116084,1222.0131328014334,1221.3121431741865,1231.5636952716652,1241.46658194529,1254.0415138054161,1261.9713910985033,1265.4238091223663,1270.3828610057164,1268.479923612532,1272.8285528062254,1270.8215047140693,1273.8389568027703,1274.198697595124,1276.585140702004,1276.939113260654,1278.8597109083223,1281.529449589332,1281.6762617661623,1282.4938288376848,1278.755327575429,1282.4928395823667,1285.2154167354872,1291.6370446118942,1296.1000138838017,1300.3897507251786,1304.3830282723807,1305.3889226722492,1305.3441835075073,1304.1729134148695,1306.8434134708655,1311.0327052141017,1317.2695053046857,1323.2122221697743,1318.9515289375922,1311.0808457878302,1302.2038713484224,1302.2704670769162,1304.2325800321746,1307.1752863837253,1311.300194474062,1316.3252303383633,1319.7717815849053,1325.4636321892224,1328.7285427717557,1334.7282962163213,1345.7590546677577,1361.93282159243,1382.7861905189309,1400.033500098064,1418.2863572791036,1433.9425086553563,1446.608253696586,1457.322174002036,1465.670940771924,1473.4747059375673,1482.7166292284046,1490.4849497715256,1499.7491668241148,1506.0529130324312,1512.938458443615,1518.4979419695499,1522.1309945207393,1524.3443479008426,1525.433008497246,1526.2714994128046,1529.9662715774564,1535.0045077527616,1541.349574932719,1548.5315449133634,1550.5200490611085,1553.8413742156013,1555.8203963897356,1557.5081574112478,1557.1633692594694,1555.3581336630455,1556.8171496468406,1559.6581164588308,1563.981819449631,1566.8175895170639,1568.969099256659,1566.9782913547417,1569.2899211693089,1572.1923732956855,1579.0114602419337,1580.2669732471682,1583.2061170618033,1585.4063649351938,1589.466737090415,1591.419699209898,1592.1563509514067,1592.207027505336,1593.556357424976,1596.6436965783698,1597.1654041575441,1596.5390933802403,1592.8280941879698,1593.3555805654064,1593.3565302793402,1594.3427138160137,1592.0547659718761,1590.1714075564964,1587.3585739575217,1584.9055182331992,1580.8773197404944,1576.7838829912646
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,924.4834152878208,935.3269035277049,939.4176028948258,948.2369391280572,948.4493387548633,954.3624714185355,955.8787829471067,959.2330042737954,964.2962851180355,970.1728012684525,976.262079508607,980.957410795726,985.9553937432435,986.8058773072778,990.0605243485342,992.0704800801235,998.5213091576594,1003.4639170754633,1008.9124699813749,1013.5601307824863,1017.1131337605477,1020.3421247761225,1024.2344210895078,1028.3949192196653,1034.96265978012,1040.9712510140832,1048.3173346691462,1052.2959779653715,1059.1909775205859,1063.5395580318946,1069.4718985894544,1074.0061154789948,1079.5637070914186,1085.3006292285268,1090.9637594096714,1096.2917713152813,1101.9555349319935,1106.7085231709134,1114.3869774218535,1121.7638758126516,1129.1335763589057,1135.5466117650235,1143.1858174522765,1151.0612081255265,1159.5351928401537,1167.6494157112309,1176.1810738405877,1184.2454905641987,1189.3994367695186,1197.5767450567587,1203.3845998453482,1211.6979387146382,1218.1041033109568,1227.1313314029755,1234.68726768342,1243.251443451012,1251.3327331545065,1259.9902898274158,1268.5285536281847,1277.9781644322263,1289.415910319396,1299.616744292379,1302.5670679767898,1301.013665916753,1298.4163248724337,1299.0941208889617,1307.3903449049299,1319.1045736665724,1334.5518229228926,1351.5492617486077,1368.9565281018074,1383.8070305996312,1399.915963589719,1415.2548464982285,1436.3009343689776,1463.2830457448345,1499.2676405079585,1539.0284177645526,1577.9653262568502,1614.1812193309158,1645.122068513652,1671.2295264195184,1690.8787966836317,1707.2894928601606,1720.8627631295947,1732.7713042605753,1742.088096380003,1750.5671807390645,1754.2542073529319,1756.0620791264805,1752.631642361448,1748.8109399464752,1742.3470835356723,1738.6656347324708,1737.2552993929792,1740.4416933735376,1741.4653839924224,1744.4577138336626,1750.6317065945605,1752.6182415733167,1752.9082341584153,1746.769947641939,1746.5117409484,1744.605457867808,1744.4319042514524,1742.9714539283998,1742.9366510482878,1742.0949576024382,1744.183118689319,1746.168573797051,1746.1048769854249,1747.5307176502113,1749.457070216228,1752.1169364864768,1752.2493591885188,1752.879563427014,1752.8597122719086,1751.5208192629154,1751.016781971186,1749.2587950277311,1749.2304352335766,1748.5382380979186,1747.7782585618497,1745.1337583602906,1743.083041957398,1743.228703932831,1743.1132660026003,1743.0504079261514,1742.8116597430549,1743.26706821585,1741.7150121299094,1740.260573722492,1736.29278505803,1732.2473173852102,1728.4450334001895
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1600.1997713589572,1608.6879602487177,1614.83171332223,1616.09049005532,1621.1485945485094,1625.3928822102375,1637.4971900228895,1648.0089726312472,1659.0994184505034,1668.246944142818,1674.6096079758288,1684.3792526659527,1690.4365948275092,1695.8255288936714,1701.2019250658282,1707.4941718997507,1714.4732621936264,1725.159125693331,1733.11674002095,1741.2773762211498,1747.7406838001186,1756.6664744241032,1765.169606552102,1771.8063989008033,1778.0964048897906,1790.4359828281872,1804.9377192804425,1820.2850328801287,1828.9088436216393,1835.954036384585,1842.394949029062,1848.6118125929834,1854.6982585983283,1861.1980758989193,1869.8794874410694,1876.3582795484697,1887.556561898451,1896.077627543971,1906.0121010449154,1912.2702658440194,1921.4379204788747,1928.1869744729236,1935.0300710173121,1942.1228216409725,1951.173597105318,1957.7144859779648,1960.9953104298738,1967.3521869791794,1972.8236938754637,1979.6363565680329,1981.4834584665666,1985.8136828328275,1991.042045035358,1998.1089250050602,2005.6315409229226,2012.955821259378,2019.0247263358187,2026.2561523248216,2034.9845094091265,2042.678949138512,2048.861330749344,2054.1201333197305,2054.3187075579294,2047.5286575704813,2038.611642890252,2033.7106293964553,2036.557084553228,2040.2654959447902,2049.5503660099653,2066.857891743367,2087.708039392774,2104.6013706827734,2119.136067167312,2133.259838164747,2149.846079072033,2173.4426970136983,2202.4071369472194,2233.0125487582227,2270.112529104543,2312.721141593645,2361.127617685832,2398.6197642888187,2432.3078071857394,2460.572782417896,2490.37470608228,2520.550349839269,2547.547549897098,2579.8496785869606,2608.9296244145007,2640.2556593763825,2658.790874728045,2674.867343046502,2678.9807536058343,2684.024396489337,2686.085262980868,2695.70938401074,2703.385236112362,2712.7226474958857,2728.902406071106,2745.0999420270937,2761.9067338002424,2768.456403382548,2775.674725952251,2777.6570652489704,2779.0106941326585,2777.7748395791423,2775.101905225185,2773.5968490683326,2775.1551483653857,2781.80603956244,2787.4922783472753,2793.0555608041605,2796.937520097457,2801.8681488796333,2807.0890390481977,2808.676528939398,2814.3791888611518,2822.3221547616067,2837.3630187438816,2845.0329496564996,2851.427705051646,2852.7649372350643,2857.2808075202825,2855.0451848066973,2853.831163818447,2855.7829094938706,2859.117819097634,2867.3976849799515,2874.312712499075,2880.0259715008324,2880.7998279666203,2884.3991930814195,2887.106645765622,2890.3053611145506,2889.899307467977
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1849.40580554867,1857.7023953135522,1867.426944080524,1877.3290658508636,1881.874343604626,1886.2152626878333,1893.0002436467253,1906.1153383275423,1915.1321464625166,1926.3433503137796,1931.6881752809916,1940.1751971311191,1947.672824790607,1954.1889759598773,1955.4942367173596,1957.6750095684083,1966.6096966751757,1977.8017737062248,1985.6918952087526,1988.7376803516095,1995.7921139854786,1999.3975075973074,2009.403542778167,2011.1749378891136,2021.5439174491032,2031.8608039515975,2049.787745086773,2062.8061793365305,2066.2149235832476,2071.432797268749,2076.0215723875344,2084.660393635032,2091.065016149848,2093.947375747738,2099.619944320959,2107.0594388837103,2117.1086906822043,2121.227516336226,2125.037509005884,2128.8312924005636,2133.2099515439013,2136.9341522385057,2140.159700533961,2145.1555958309946,2151.2476723423156,2160.1579826554844,2167.357729864684,2172.614250733712,2174.254989134934,2178.936244875906,2181.764656546884,2186.8839413835112,2194.9676302690114,2202.163818214337,2210.5848829441084,2216.379737296099,2221.624894841284,2227.036866020064,2231.213186684871,2237.68823639713,2243.961738740258,2250.9881897308746,2251.098288476433,2242.309900295884,2231.771166082882,2222.2132638627386,,2217.5257827492205,2224.8881854953434,2239.413891220897,2253.7850917831465,2271.045394762071,2289.554372712131,2312.6944453949027,2334.299533260233,2358.7967710750213,2387.8808655548005,2428.632444924444,2482.654598666838,2551.160304013566,2613.1589205583505,2657.5245761553124,2689.551001991073,2715.691748142799,2743.2448922025087,2769.0706643534913,2796.6118097662948,2830.895825502986,2858.1346423073323,2878.6368989351545,2877.726151606185,2868.898230940163,2856.726817144104,2852.0292928688386,2858.695105160459,2860.5520317957266,2863.653125585918,2864.0248819314,2875.456251843646,2885.5168770381497,2898.409951024339,2906.941811962488,2924.7550697642732,2936.589916032937,2945.9707096020165,2952.8789105608153,2957.8098750043955,2973.008629632346,2979.121851975377,2986.556331790056,2980.9478658926528,2982.5530120039302,2986.499950636211,2994.788062185923,3005.5578789984343,3013.05259799268,3021.1403409589752,3028.9746402654728,3034.528441199063,3039.3475944952534,3049.649033161441,3062.2688226292685,3075.7413908036256,3082.871768433258,3087.5839425883564,3091.655150348806,3092.748281554357,3100.061135148735,3108.600837172124,3117.096618926738,3125.805500478693,3130.642173666451,3134.824271125065,3136.665118183309,3141.4127756022244
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2255.2370019515197,2271.1451101715575,2290.466854843916,2301.989623787377,2310.1985802204317,2326.2264178748137,2329.6226064843795,2335.521778719742,2348.5831034598036,2365.2756490876936,2371.957886189216,2368.9647364074813,2371.208989895096,2376.6190136866,2384.1033477363685,2381.77895860894,2380.898349163353,2379.953069332433,2386.990841968592,2395.315111035754,2400.5628352243934,2406.134553249818,2422.5342637956032,2430.8666809395795,2432.1095554659073,2425.534231811683,2421.482425935145,2427.3662479337213,2428.400726399799,2433.3298373045413,2438.1070910623243,2443.558138303163,2442.571085772917,2437.0112034185036,2434.170118096143,2443.4650258118045,2452.3349066670066,2456.4110186516955,2457.9313764999633,2465.0798988522374,2471.838100870237,2477.835144602512,2477.8496182699055,2482.423619264934,2485.01742779942,2489.185780907179,2491.967366065315,2494.520051275614,2505.239643704821,2520.9090984732293,2534.161844488142,2541.024550985005,2550.8765171868154,2559.7297403820558,2572.723363615487,2582.2887967586025,2597.773095079105,2614.997113864487,2630.954984020756,2643.7619259850844,2652.5356925334204,2662.207196636583,2654.3255986015106,2636.728043559789,2608.3099912700336,2569.8852929051595,2536.222327524294,2497.8886301104153,2459.2934200399463,2432.303839463253,2418.8131863371673,2418.470632475386,2416.6360089157015,2420.9961823789195,2428.0315121902368,2450.2839601121314,2474.4423944422365,2511.8999878186632,2550.814248065055,2599.1652165621026,2651.1850329855915,2696.7155512082813,2745.7020114658912,2783.362993972319,2824.6492070531986,2857.4491965877974,2892.644573858858,2921.7630623792857,2959.117331782623,2996.138892924899,3032.5649866384015,3061.5533823988867,3078.7184446691685,3095.8105530006924,3096.1046853538483,3100.427402314143,3106.778973982383,3115.5219896577846,3123.937894690616,3133.7451123430174,3146.7043086658373,3156.75292638889,3162.6682104562715,3171.352476017333,3190.1433056124183,3200.8261645084303,3206.948808054976,3216.8285375698806,3229.6469846263344,3246.8366397597724,3253.926291193059,3258.703645934434,3267.891685074377,3274.538799330094,3280.612730036783,3279.246689298437,3283.18595656281,3291.5620140274577,3310.667228440027,3319.736173161526,3327.7634320984566,3337.3905553315567,3356.5704074932005,3373.5285023809297,3383.2819902979054,3395.8469792836513,3410.9721383907377,3431.804071959935,3445.8645303994267,3460.807851137131,3473.0980267998125,3491.0567989835245,3507.94358302831,3521.311525900198,3532.4342522812344
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1617.2555498238837,1627.2475676457047,1637.067182428252,1645.612178648102,1652.4113129621342,1658.225850622735,1664.9422855457408,1673.069703306925,1680.0985598805,1683.5846919697906,1692.4341101119928,1702.1346378334335,1708.7937467755148,1710.6156761434343,1708.934854997588,1708.382567610706,1706.022001669232,1704.9946595713018,1704.9910010496649,1703.1842033659693,1702.4588594750012,1701.4921123368458,1701.305099696897,1698.4714192039044,1702.184784499815,1706.4462284317854,1714.5913351034062,1715.2646129413777,1717.2165358343223,1718.7831674076106,1720.5667776886348,1724.1219067347981,1727.3220298169422,1731.4236075175484,1731.2599309074646,1733.8686027546494,1736.25466956695,1741.3622579154464,1743.6554666174375,1748.251249656401,1749.8532803337325,1754.9823068011567,1760.3541969516718,1767.3021395789674,1772.0417812732876,1774.871392534197,1775.4225614501304,1777.4300319381252,1779.4906249543442,1780.5317678933486,1781.8891445469812,1785.2128449087968,1790.9373274826874,1794.1530097539944,1797.1374871664696,1798.609284935162,1802.0816700280789,1806.9981521309812,1815.7879965959633,1823.0259458516891,1829.5625457737892,1836.0482107880173,1830.8604048990303,1821.5029156708244,1810.0581140808274,1803.8807782559845,1804.019048555469,1805.2143288536868,1805.9290024665345,1813.8212960664289,1829.2770124669125,1846.8610480038317,1871.676719808468,1901.8255327474778,1935.3521869650426,1972.3551552594936,2015.3013220762964,,2129.996373832643,2191.8699595792637,2253.143021497439,2304.152813663391,2354.1672695869365,2407.800113902794,2455.4830412874076,2507.237933284624,2553.217069211209,2606.2968814479973,2650.5447920272372,2683.255856859377,2704.9979941844795,2718.6812995535256,2732.212467410893,2739.943078128905,2743.3772309136634,2747.588474138103,2752.3312253914123,2753.1708421199296,2754.3835542006027,2755.590890188743,2755.357168107753,2751.5118380640743,2746.8313597089937,2749.0206757994606,2751.430974036129,2760.0874479429754,2768.153570926231,2769.6418241149454,2772.945805625813,2776.12348755224,2784.5657595200637,2790.9517387053643,2794.341028723707,2798.466946633064,2802.968255373551,2810.0984657256636,2817.1201877968438,2822.120986107658,2822.1489092197944,2824.1694859768404,2828.3539230778715,2829.6422345998885,2826.5518807137264,2823.7625983359417,2824.371205005581,2827.015915047499,2830.5608870393226,2829.260772515225,2826.8398185470437,2823.33786454057,2823.705396906855,2824.47590157861,2821.9932163631015,2821.604328938857,2821.362989600315
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1034.1120018605327,1036.2203871334912,1040.9800096759486,1050.0102414288342,1057.6460464107672,1062.2596109175677,1068.5907917007257,1072.8843351151124,1079.628640816284,1082.7571232773741,1089.613700810335,1094.7552188213301,1101.430288145379,1107.6376610852471,1112.2667438987876,1117.4588021231782,1120.2212083745644,1126.8205263633718,1129.8183126095346,1136.0570490075622,1140.439517005338,1150.3964311662994,1153.4436362211209,1159.6034148179315,1166.6097428614676,1171.2606849045953,1180.0178349462387,1183.4944714502565,1193.5637444359386,1193.7450141067125,1198.0638435755734,1199.751123067952,1205.9688388468103,1207.6031330896703,1217.4643665886938,1223.0900143454742,1226.6104444807686,1231.5871565261882,1231.2175456602906,1233.3322448330107,1230.4774669964588,1236.3754978104462,1242.0740859727898,1246.6456474767258,1245.890774133454,1250.2274608297357,1254.4020355837165,1261.6868496512589,1265.9976014229296,1267.0339599616732,1272.7268922079904,1278.6122964223298,1285.3088249323064,1289.1021110864392,1291.3746266240287,1294.871307273445,1300.265595897252,1302.6554435284136,1302.2013795744328,1300.5825165775098,1301.7820728007546,1304.956372076527,1312.2735666003584,1309.1605061289015,1304.7982806098332,1296.5467451480245,1293.4882263489148,1293.1429819247155,1297.6956313851722,1305.2196475775702,1311.2481489982342,1320.918293972183,1328.1377828244497,1339.3924122328183,1347.94295392697,1362.858754581652,1379.878144992279,1400.448649856223,1424.91866447653,1451.3180068036027,1476.5375872791421,1496.5714898180304,1514.300508959307,1531.0091381870366,1547.1386871654151,1562.0827644670308,1572.5389103863047,1586.8768838094156,1601.5850767054321,1622.2592624620017,1633.431308836374,1637.063813903525,1634.6022488361534,1629.2221705096463,1628.681757763045,1628.3858670742882,1630.1375944245801,1631.1179768865898,1637.872586981743,1638.1016147947644,1638.3566464649675,1631.2676738942603,1630.051604148398,1628.571197846637,1629.2716579088822,1630.2388950066681,1630.1542601019528,1629.07165028361,1629.0480549260121,1627.290663190333,1623.5643445509086,1620.6548950916583,1619.632785735436,1621.1443720533953,1623.2280525185545,1625.9229808174364,1626.9091630453338,1628.0266607991289,1627.9785299755313,1629.5999861954363,1629.3173328660741,1630.0064600605988,1630.807413762139,1632.6675037001687,1632.6994228780118,1632.7420474914886,1631.1873763107233,1630.4556508448227,1630.9691643895649,1631.7385107439886,1632.809334473223,1632.8994555900833,1633.354173837528,1633.9211722422947,1634.2057437507792
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1312.6507819096878,1315.1533692227536,1319.1151618873123,1326.4649061537566,1332.2272099406482,1339.5898204539599,1345.18876591606,1351.2145759499567,1355.9542763743093,1364.9756973441208,1371.0242427787953,1379.4263059426446,1379.6732954683832,1387.1519050801617,1389.153274020895,1390.7841025734458,1395.0809956439527,1398.6840284439866,1407.1952409021144,1411.0167706223006,1421.9106520802673,1425.4197437340156,1433.7361286572152,1436.107227808929,1452.074459669481,1460.1032193383548,1471.3115016548102,1481.2844044277244,1491.5339800391491,1501.891281974257,1505.7608603688261,1515.2298803666822,1520.3798074009571,1526.9703610347092,1532.9946125074734,1538.5499445989974,1546.7182676786624,1556.7015108919816,1566.456541562512,1570.3292630218368,1571.8833794546954,1578.978640571087,1587.481505662711,1595.5466443374867,1605.348996749541,1616.9505726283933,1625.9630501423994,1634.699545227051,1637.6117030014843,1640.065014238774,1644.381505769236,1653.9875418730467,1664.7700176681806,1671.2801699675358,1678.984077649514,1685.1647250606,1690.6067617372325,1695.3712750455466,1701.5499986932234,1709.486541537861,1717.950209770201,1727.4148395329137,1725.9301070588824,1727.9519818636256,1725.8626463085438,1735.7726757135886,1748.4757153996406,1770.0564031782721,1791.1277898109274,1817.452983151869,1841.986820101474,1869.237817206342,1895.6661844436862,1922.7332869841707,1946.6944275080857,1966.6867462491473,2000.9730270995237,2034.4773546844308,2077.310815798066,2110.310374485566,2144.0142777340793,2165.9274905257707,2192.2263168086897,2205.883095485651,2230.4355717418307,2243.7281425161586,2271.7269735773366,2297.829358630402,2318.262615376579,2333.563476730804,2337.628556787646,2339.3947484839227,2340.946981127296,2339.192793457141,2339.0295247264326,2342.805216568788,2348.3062763811854,2355.9421976569024,2360.1591633439175,2369.186371047018,2370.771645159324,2369.0372184718044,2366.2328748215323,2373.608058492659,2375.065848476093,2391.527587844782,2396.0482965202204,2403.319895995701,2397.036277352545,2409.2280438303114,2415.6725776642334,2423.9554763705933,2426.7046228800245,2431.9843768120454,2445.658513822228,2451.5663860370337,2464.2096833508112,2465.7166551482287,2470.553083533464,2476.9772929387805,2488.365897247309,2492.7341638539815,2489.7359976092116,2488.073771116495,2494.66099397668,2501.755452636842,2504.5761355285736,2508.8301429609164,2510.4577137853003,2513.8843539171125,2519.774232558704,2522.334976287886,2526.813089319495,2527.351669952146,2536.455562446699
