RegionID,RegionName,State,date,home_value,treated,rent,post,did,pop_total,median_income,housing_total,housing_owned,median_rent_census,labor_force,mortgage_rate,ownership_rate,home_value_idx,rent_idx
157,Erie County,NY,2018-01-01,162464.03589173572,0,928.068938437768,0,0,919866.0,55673.0,387847.0,251238.0,804.0,472206.0,4.032500000000001,0.6477760560220912,72.3803576484221,79.49999596696819
157,Erie County,NY,2018-02-01,163373.371829375,0,926.745805866876,0,0,919866.0,55673.0,387847.0,251238.0,804.0,472206.0,4.33,0.6477760560220912,72.78548152724015,79.38665413459661
157,Erie County,NY,2018-03-01,164486.50185217193,0,927.6318290739506,0,0,919866.0,55673.0,387847.0,251238.0,804.0,472206.0,4.444,0.6477760560220912,73.28139896962678,79.46255242024299
157,Erie County,NY,2018-04-01,165396.762653779,0,931.5978643863336,0,0,919866.0,55673.0,387847.0,251238.0,804.0,472206.0,4.4675,0.6477760560220912,73.68693489031241,79.80228988831303
157,Erie County,NY,2018-05-01,166518.7262856337,0,928.4970388655246,0,0,919866.0,55673.0,387847.0,251238.0,804.0,472206.0,4.586,0.6477760560220912,74.18678784851592,79.53666779259505
157,Erie County,NY,2018-06-01,167516.7434282445,0,931.8431713802328,0,0,919866.0,55673.0,387847.0,251238.0,804.0,472206.0,4.57,0.6477760560220912,74.63142063955137,79.82330331115044
157,Erie County,NY,2018-07-01,168739.7922980642,0,933.0147781508136,0,0,919866.0,55673.0,387847.0,251238.0,804.0,472206.0,4.5275,0.6477760560220912,75.17630870744377,79.92366518048833
157,Erie County,NY,2018-08-01,169871.05240444755,0,940.2956143029536,0,0,919866.0,55673.0,387847.0,251238.0,804.0,472206.0,4.55,0.6477760560220912,75.68030339552342,80.54735424146006
157,Erie County,NY,2018-09-01,170771.61192947035,0,943.0567758528944,0,0,919866.0,55673.0,387847.0,251238.0,804.0,472206.0,4.6275,0.6477760560220912,76.08151724046496,80.78388013193317
157,Erie County,NY,2018-10-01,171136.65064516888,0,943.4888102487802,0,0,919866.0,55673.0,387847.0,251238.0,804.0,472206.0,4.83,0.6477760560220912,76.24414789686075,80.82088894809756
157,Erie County,NY,2018-11-01,171228.55913181163,0,949.0785875253622,0,0,919866.0,55673.0,387847.0,251238.0,804.0,472206.0,4.866,0.6477760560220912,76.28509461529978,81.29971897088936
157,Erie County,NY,2018-12-01,171103.09088359406,0,954.1716520357128,0,0,919866.0,55673.0,387847.0,251238.0,804.0,472206.0,4.6375,0.6477760560220912,76.22919647987761,81.7359997160611
157,Erie County,NY,2019-01-01,171452.21261719672,0,960.7987287558196,0,0,919355.0,58121.0,389585.0,251583.0,829.0,472606.0,4.464,0.6457717827945121,76.38473586311586,82.3036866094595
157,Erie County,NY,2019-02-01,172114.63773057112,0,956.5915874870112,0,0,919355.0,58121.0,389585.0,251583.0,829.0,472606.0,4.37,0.6457717827945121,76.67985697320132,81.94329558671313
157,Erie County,NY,2019-03-01,173155.46452373388,0,960.2343088623196,0,0,919355.0,58121.0,389585.0,251583.0,829.0,472606.0,4.265,0.6457717827945121,77.14356215647885,82.25533742180922
157,Erie County,NY,2019-04-01,174013.54522893662,0,963.5349036763504,0,0,919355.0,58121.0,389585.0,251583.0,829.0,472606.0,4.1425,0.6457717827945121,77.52585099962425,82.53807210189208
157,Erie County,NY,2019-05-01,174833.3085624572,0,970.1478715262436,0,0,919355.0,58121.0,389585.0,251583.0,829.0,472606.0,4.072,0.6457717827945121,77.89106883347655,83.10455040498148
157,Erie County,NY,2019-06-01,175710.61938617946,0,971.3978236274096,0,0,919355.0,58121.0,389585.0,251583.0,829.0,472606.0,3.8025,0.6457717827945121,78.28192500568295,83.21162347130871
157,Erie County,NY,2019-07-01,176542.21865441464,0,974.63755027951,0,0,919355.0,58121.0,389585.0,251583.0,829.0,472606.0,3.765,0.6457717827945121,78.6524159400282,83.48914407900152
157,Erie County,NY,2019-08-01,177300.0775332911,0,976.1363477437144,0,0,919355.0,58121.0,389585.0,251583.0,829.0,472606.0,3.616,0.6457717827945121,78.99005433734503,83.6175336710076
157,Erie County,NY,2019-09-01,177977.191627486,0,982.82730767357,0,0,919355.0,58121.0,389585.0,251583.0,829.0,472606.0,3.605,0.6457717827945121,79.29171962614332,84.19069291102493
157,Erie County,NY,2019-10-01,178789.10042102626,0,986.2949556820612,0,0,919355.0,58121.0,389585.0,251583.0,829.0,472606.0,3.688,0.6457717827945121,79.65343813530005,84.48773765767268
